host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class,taxid,matched_name
Glycine max,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus plantagonis,+ssRNA,12148,Tymovirus
Antirrhinum majus,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus plantagonis,+ssRNA,12148,Tymovirus
Plantago major,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus plantagonis,+ssRNA,12148,Tymovirus
Tetragonia tetragonoides,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus plantagonis,+ssRNA,12148,Tymovirus
Scrophularia nodosa,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus scrophulariae,+ssRNA,12148,Tymovirus
Brassica,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus brassicae,+ssRNA,12148,Tymovirus
Brassica rapa subsp. pekinensis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus brassicae,+ssRNA,12148,Tymovirus
Cardamine lilacina,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Tymoviridae,Tymovirus,Tymovirus brassicae,+ssRNA,12148,Tymovirus
Asparagus officinalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA,12176,Potexvirus
Chenopodium quinoa,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA,12176,Potexvirus
Allium chinense,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus triasparagi,+ssRNA,12176,Potexvirus
Carica papaya,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus babaci,+ssRNA,12176,Potexvirus
Vasconcellea cundinamarcensis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus babaci,+ssRNA,12176,Potexvirus
Chenopodium amaranticolor,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus babaci,+ssRNA,12176,Potexvirus
Senna occidentalis,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus babaci,+ssRNA,12176,Potexvirus
Vasconcellea x heilbornii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus babaci,+ssRNA,12176,Potexvirus
Hordeum vulgare,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus bambusae,+ssRNA,12176,Potexvirus
Bambusa oldhamii,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus bambusae,+ssRNA,12176,Potexvirus
Selenicereus undatus,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus ecscacti,+ssRNA,12176,Potexvirus
Manihot esculenta,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus colombiense,+ssRNA,12176,Potexvirus
Nicotiana benthamiana,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Potexvirus marmormanihotis,+ssRNA,12176,Potexvirus
Citrus reticulata,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Tymovirales,Alphaflexiviridae,Potexvirus,Mandarivirus,+ssRNA,12176,Potexvirus
