run_accession	sample_accession	country	collection_date	sample_alias	fastq_ftp	scientific_name	city
ERR14788981	SAMEA13189723	Malaysia	2018-03-16	DTU_2018_1013559_1_MG_MY1803_L61	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/081/ERR14788981/ERR14788981_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/081/ERR14788981/ERR14788981_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788982	SAMEA13189724	Malaysia	2018-04-12	DTU_2018_1013560_1_MG_MY1804_L62	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/082/ERR14788982/ERR14788982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/082/ERR14788982/ERR14788982_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14788983	SAMEA13189725	Malaysia	2018-05-08	DTU_2018_1013561_1_MG_MY1805_L63	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/083/ERR14788983/ERR14788983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/083/ERR14788983/ERR14788983_2.fastq.gz	wastewater metagenome	Kuala Lumpur
ERR14789007	SAMEA13189726	USA	2018-04-15	DTU_2018_1013562_1_MG_US1804_L66	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR14789007/ERR14789007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/007/ERR14789007/ERR14789007_2.fastq.gz	wastewater metagenome	Seattle
ERR14789008	SAMEA13189727	USA	2018-05-13	DTU_2018_1013563_1_MG_US1805_L67	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR14789008/ERR14789008_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/008/ERR14789008/ERR14789008_2.fastq.gz	wastewater metagenome	Seattle
ERR14789009	SAMEA13189728	USA	2018-07-17	DTU_2018_1013564_1_MG_US1807_L68	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR14789009/ERR14789009_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/009/ERR14789009/ERR14789009_2.fastq.gz	wastewater metagenome	Seattle
ERR14789010	SAMEA13189729	USA	2018-08-23	DTU_2018_1013565_1_MG_US1808_L69	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/010/ERR14789010/ERR14789010_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/010/ERR14789010/ERR14789010_2.fastq.gz	wastewater metagenome	Seattle
ERR14788934	SAMEA13189730	Australia	2018-07-19	DTU_2018_1013566_1_MG_AU1807_L70	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/034/ERR14788934/ERR14788934_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/034/ERR14788934/ERR14788934_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788935	SAMEA13189731	Australia	2018-08-30	DTU_2018_1013567_1_MG_AU1808_L71	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/035/ERR14788935/ERR14788935_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/035/ERR14788935/ERR14788935_2.fastq.gz	wastewater metagenome	Melbourne
ERR14788958	SAMEA13189732	Cameroon	2018-07-19	DTU_2018_1013568_1_MG_CM1807_L72	ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/058/ERR14788958/ERR14788958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR147/058/ERR14788958/ERR14788958_2.fastq.gz	wastewater metagenome	Yaounde
