host tax id,host name,realm,kingdom,phylum,class,order,family,genus,species,baltimore_class
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Alphavirus semliki,+ssRNA
9606.0,Homo sapiens,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Megaviricetes,Pimascovirales,Pimascovirales incertae sedis,Marseilleviridae,Marseillevirus,
9606.0,Homo sapiens,Duplodnaviria,Heunggongvirae,Uroviricota,Caudoviricetes,unclassified Caudoviricetes,,,,dsDNA
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,unclassified Anelloviridae,Small anellovirus,
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,Orthoflavivirus louisense,+ssRNA
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Deltapolyomavirus,Deltapolyomavirus undecihominis,
9606.0,Homo sapiens,Varidnaviria,Bamfordvirae,Nucleocytoviricota,Pokkesviricetes,Chitovirales,Poxviridae,Chordopoxvirinae,Yatapoxvirus,
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,Orthoflavivirus tembusu,+ssRNA
9606.0,Homo sapiens,Riboviria,Orthornavirae,Negarnaviricota,Polyploviricotina,Insthoviricetes,Articulavirales,Orthomyxoviridae,Thogotovirus,-ssRNA
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Flasuviricetes,Amarillovirales,Flaviviridae,Orthoflavivirus,Orthoflavivirus encephalitidis,+ssRNA
9606.0,Homo sapiens,Riboviria,Orthornavirae,Kitrinoviricota,Alsuviricetes,Martellivirales,Togaviridae,Alphavirus,Alphavirus tonate,+ssRNA
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi1,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi10,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi11,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi12,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi13,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi14,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi2,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi3,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi4,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi5,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi6,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi7,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi8,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Gammatorquevirus,Gammatorquevirus homidi9,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini1,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini10,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini11,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini12,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini32,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini2,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini3,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini5,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini6,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini7,
9606.0,Homo sapiens,Monodnaviria,Shotokuvirae,Commensaviricota,Cardeaviricetes,Sanitavirales,Anelloviridae,Betatorquevirus,Betatorquevirus homini8,
